,id,category,raw_tag
0,0,user,
1,1,노트북,인텔 아톰 체리트레일 쿼드코어 window10 DDR3L RAM 2GB 이하 eMMC/UFS 100GB 미만 무게 가벼움 GPU 내장그래픽 802.11n 802.11n HDMI 웹캠 MicroSD카드 
2,2,노트북,
3,3,노트북,
4,4,노트북,
5,5,노트북,
6,6,노트북,
7,7,노트북,
8,8,노트북,
9,9,노트북,
10,10,노트북,
11,11,노트북,
12,12,노트북,
13,13,노트북,
14,14,노트북,
15,15,노트북,
16,16,노트북,
17,17,노트북,
18,18,노트북,
19,19,노트북,
20,20,노트북,
21,58,노트북,
22,59,노트북,
23,60,노트북,
24,61,노트북,
25,62,노트북,
26,21,키보드,
27,22,키보드,
28,23,키보드,
29,24,키보드,
30,25,키보드,
31,26,키보드,
32,27,키보드,
33,28,키보드,
34,29,키보드,
35,30,키보드,
36,31,키보드,
37,32,키보드,
38,33,키보드,
39,34,키보드,
40,35,키보드,
41,36,키보드,
42,37,키보드,
43,38,키보드,
44,39,키보드,
45,40,키보드,
46,41,마우스,
47,42,마우스,
48,43,마우스,
49,44,마우스,
50,45,마우스,
51,46,마우스,
52,47,마우스,
53,48,마우스,
54,49,마우스,
55,50,마우스,
56,51,마우스,
57,52,마우스,
58,53,마우스,
59,54,마우스,
60,55,마우스,
61,56,마우스,
62,57,마우스,
